ID	Q1	Q2	Q3A	Q3B	Q3_ETC	Q4	Q5A	Q5B	Q5C	Q5D	Q5E	Q5F	Q5G	Q6A	Q6B	Q7	Q8	Q9A	Q9B	Q9C	Q9D	Q9E	Q9F	Q9G	Q9_ETC	Q10	Q11	Q12A	Q12B	Q13	Q14	Q15	Q16	Q17
1	2	1	1	2		1	5	5	5	5	5	9	5	4	5	1	1	1	0	0	0	0	0	0		1	1	2	5	3	1	3	1	
2	2	2	6	9		2	2	4	2	4	2	3	2	2	2	2	2	1	0	0	0	0	0	0		2	3	1	0	9	1	5	12	
3	2	4	1	3		2	3	9	3	4	3	4	3	3	3	2	4	0	0	0	0	0	0	0		2	2	1	0	7	1	5	12	
4	2	2	1	9		1	1	5	9	9	9	9	9	2	3	2	5	1	0	0	0	0	0	0		2	1	2	5	1	1	4	11	
5	2	2	2	1		1	5	9	5	9	4	5	4	2	4	2	1	1	0	0	0	0	0	0		9	1	3	0	8	2	5	9	
6	2	4	6	3		1	9	9	9	9	9	9	9	5	5	1	1	0	0	0	0	0	0	0		9	1	3	4	5	1	5	1	
7	1	1	1	2		1	5	1	5	1	5	1	5	5	5	1	1	1	0	0	0	0	0	0		1	1	1	10	4	1	5	1	
8	2	1	1	2		1	5	5	9	5	9	5	9	5	5	1	1	0	0	0	0	0	0	0		1	1	1	1	8	2	5	1	
9	1	1	1	2		1	5	5	5	5	5	5	5	3	4	1	1	1	0	0	0	0	0	0		1	1	5	0	4	1	2	2	
10	2	1	1	3		1	5	5	5	5	5	5	5	1	5	1	1	1	0	0	0	0	0	0		1	1	1	2	4	2	4	2	
11	2	1	1	6		1	4	5	3	5	3	5	3	3	4	1	2	1	0	0	0	0	0	0		2	1	3	4	6	2	3	12	
12	2	3	1	3		1	5	9	4	9	5	9	5	3	5	1	2	1	0	0	0	0	0	0		1	1	3	0	8	2	4	1	
13	1	3	1	6		1	5	9	3	5	3	5	3	2	4	2	2	1	0	0	0	0	0	0		1	1	3	0	3	2	3	1	
14	2	1	2	1		2	4	9	5	9	3	9	5	3	3	2	3	1	0	0	0	0	0	0		2	1	4	0	1	2	1	2	
15	1	1	1	2		2	4	3	3	3	3	4	3	1	4	2	2	0	0	0	0	0	0	0		1	1	5	0	9	1	4	1	
16	2	1	2	1		2	3	5	4	4	9	3	9	2	3	2	2	1	0	0	0	0	0	0		2	3	3	7	3	1	5	4	
17	2	2	3	2		2	4	9	4	5	4	4	4	4	4	2	2	0	0	0	0	0	0	0		2	1	2	8	7	2	2	1	
18	1	3	2	6		2	3	4	2	3	2	3	2	2	3	2	3	0	0	0	0	0	0	0		1	1	2	6	8	1	5	1	
19	1	1	9	9		1	9	3	9	3	9	3	9	9	5	1	1	1	0	0	0	0	0	0		1	1	4	0	8	1	5	4	
20	2	2	1	2		1	4	3	3	4	3	3	4	1	3	1	2	1	0	0	0	0	0	0		1	1	2	2	6	2	4	1	
21	2	1	1	2		2	4	5	4	9	4	9	4	4	4	1	1	1	0	0	0	0	0	0		2	2	2	8	9	2	1	3	
22	1	1	1	2		1	5	5	5	5	5	5	5	3	5	1	1	1	0	0	0	0	0	0		1	1	1	6	7	2	4	4	
23	1	1	2	9		2	4	4	4	4	4	4	4	5	5	1	1	1	0	0	0	0	0	0		3	3	1	8	7	2	5	1	
24	1	1	1	3		1	4	3	3	3	2	3	3	3	3	1	2	0	1	0	0	1	0	0		3	1	2	0	6	2	5	1	
25	1	3	1	2		2	4	4	5	4	4	3	3	4	5	1	1	0	0	0	0	0	1	0		1	1	5	0	8	2	5	1	
